run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case50_4,case50,case50_4,Ip,False,non_flat,case50_4:case50,237,0.761271
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_1,case51,case51_1,IIa,True,hard_flat_IIa,case51_1:case51,175,0.694162
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_10,case51,case51_10,IIa,True,hard_flat_IIa,case51_10:case51,218,0.87377
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_2,case51,case51_2,IIa,True,hard_flat_IIa,case51_2:case51,250,0.747786
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_3,case51,case51_3,IIa,True,hard_flat_IIa,case51_3:case51,210,0.692082
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_4,case51,case51_4,IIa,True,hard_flat_IIa,case51_4:case51,150,0.874225
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_5,case51,case51_5,IIa,True,hard_flat_IIa,case51_5:case51,150,0.789205
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_6,case51,case51_6,IIa,True,hard_flat_IIa,case51_6:case51,150,0.865133
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_7,case51,case51_7,IIa,True,hard_flat_IIa,case51_7:case51,134,0.743281
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_8,case51,case51_8,IIa,True,hard_flat_IIa,case51_8:case51,150,0.725921
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case51_9,case51,case51_9,IIa,True,hard_flat_IIa,case51_9:case51,150,0.663222
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case52,case52,case52,IIa,True,hard_flat_IIa,case52:case52,207,0.78815
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case53,case53,case53,Is,False,non_flat,case53:case53,245,0.811949
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case54_1,case54,case54_1,Is,False,non_flat,case54_1:case54,211,0.309745
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case54_2,case54,case54_2,Is,False,non_flat,case54_2:case54,134,0.689893
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case55_1,case55,case55_1,Is,False,non_flat,case55_1:case55,237,0.725775
